Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c4071,Ranking: 239 / 335,33.33,"{'0': ['set_cri', 'set_speed'], '1': ['set_att', 'set_penetrate'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_cri_dmg'], '4': ['set_speed']}","{'0': '25', '1': '66.67', '2': '100', '3': '0', '4': '0'}",[],[]
c2079,Ranking: 150 / 335,42.94,"{'0': ['set_cri', 'set_vampire'], '1': ['set_cri', 'set_cri_dmg'], '2': ['set_cri', 'set_speed'], '3': ['set_cri_dmg', 'set_def'], '4': ['set_def', 'set_vampire']}","{'0': '42.15', '1': '41.56', '2': '45.07', '3': '45.18', '4': '41.37'}","['c5110', 'c2112', 'c1104']","['c5110', 'c2011', 'c2112']"
c2037,Ranking: 270 / 335,28,"{'0': ['set_cri_dmg', 'set_penetrate'], '1': ['set_penetrate', 'set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_counter', 'set_immune'], '4': ['set_att', 'set_penetrate']}","{'0': '38.71', '1': '23.53', '2': '46.15', '3': '21.43', '4': '37.5'}","['c5110', 'c1103', 'c2011']","['c1133', 'c2006', 'c2080']"
c1159,Ranking: 87 / 335,47.36,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_res', 'set_speed'], '4': ['set_max_hp', 'set_max_hp', 'set_max_hp']}","{'0': '47.73', '1': '47.21', '2': '49.05', '3': '38.98', '4': '37.24'}","['c5110', 'c2066', 'c2112']","['c5110', 'c1162', 'c2011']"
c1022,Ranking: 22 / 335,53.47,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_res', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_res'], '3': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '4': ['set_max_hp', 'set_res', 'set_res']}","{'0': '53.18', '1': '53.82', '2': '54.2', '3': '51.57', '4': '55.5'}","['c5110', 'c2112', 'c2011']","['c5110', 'c2128', 'c2011']"
c2038,Ranking: 183 / 335,40.31,"{'0': ['set_cri', 'set_speed'], '1': ['set_penetrate', 'set_vampire'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_cri', 'set_vampire'], '4': ['set_penetrate', 'set_speed']}","{'0': '35.17', '1': '46.67', '2': '39.15', '3': '47.12', '4': '44'}","['c5110', 'c2011', 'c2112']","['c2090', 'c2042', 'c1133']"
c1050,Ranking: 210 / 335,36.98,"{'0': ['set_acc', 'set_speed'], '1': ['set_coop', 'set_counter'], '2': ['set_cri', 'set_speed'], '3': ['set_speed'], '4': ['set_immune', 'set_speed']}","{'0': '37.48', '1': '39.51', '2': '27.74', '3': '41.43', '4': '42.86'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2011', 'c1099']"
c1104,Ranking: 18 / 335,54.52,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_cri_dmg', 'set_max_hp'], '3': ['set_counter', 'set_max_hp'], '4': ['set_max_hp', 'set_max_hp', 'set_max_hp']}","{'0': '55.54', '1': '52.48', '2': '58.46', '3': '52.06', '4': '55.23'}","['c5110', 'c2112', 'c2011']","['c1162', 'c5110', 'c2011']"
c1038,Ranking: 77 / 335,48.15,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri_dmg', 'set_penetrate'], '2': ['set_att', 'set_cri'], '3': ['set_att', 'set_torrent'], '4': ['set_cri', 'set_speed']}","{'0': '58.92', '1': '46.74', '2': '40.97', '3': '47.39', '4': '49.48'}","['c5110', 'c2112', 'c2011']","['c1133', 'c1142', 'c1163']"
c2017,Ranking: 211 / 335,36.82,"{'0': ['set_res', 'set_speed'], '1': ['set_immune', 'set_speed'], '2': ['set_max_hp', 'set_revenge'], '3': ['set_res', 'set_res', 'set_res'], '4': ['set_speed']}","{'0': '37.98', '1': '45.71', '2': '31.43', '3': '42.31', '4': '33.33'}","['c5110', 'c2011', 'c2112']","['c1171', 'c1144', 'c1070']"
c2087,Ranking: 55 / 335,50,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_def', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_cri_dmg', 'set_def'], '4': ['set_cri_dmg', 'set_torrent']}","{'0': '55', '1': '70', '2': '75', '3': '33.33', '4': '100'}","['c5110', 'c1133', 'c2066']","['c1142', 'c2112', 'c2128']"
c1049,Ranking: 284 / 335,23.81,"{'0': ['set_penetrate', 'set_rage'], '1': ['set_penetrate', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_cri', 'set_speed'], '4': ['set_att']}","{'0': '33.33', '1': '25', '2': '0', '3': '0', '4': '0'}",[],[]
c2072,Ranking: 185 / 335,40.16,"{'0': ['set_cri', 'set_speed'], '1': ['set_att', 'set_torrent'], '2': ['set_speed'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_speed', 'set_torrent']}","{'0': '44.38', '1': '41.51', '2': '28.57', '3': '23.81', '4': '45.45'}","['c5110', 'c2011', 'c2112']","['c1133', 'c2024', 'c2112']"
c1007,Ranking: 75 / 335,48.38,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed', 'set_torrent'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_att', 'set_cri'], '4': ['set_cri_dmg', 'set_torrent']}","{'0': '47.18', '1': '57.65', '2': '50.37', '3': '38.93', '4': '59.52'}","['c5110', 'c2112', 'c2011']","['c1133', 'c1014', 'c2024']"
c3051,Ranking: 5 / 335,66.67,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3153,Ranking: 135 / 335,43.75,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1031,Ranking: 30 / 335,52.38,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
