Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c2111,Ranking: 53 / 335,50.31,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_res', 'set_speed'], '4': ['set_max_hp', 'set_speed']}","{'0': '49.39', '1': '50.52', '2': '56.33', '3': '54.06', '4': '51.49'}","['c5110', 'c2112', 'c2011']","['c2112', 'c2128', 'c2011']"
c2022,Ranking: 163 / 335,42.09,"{'0': ['set_res', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '3': ['set_max_hp', 'set_max_hp', 'set_res'], '4': ['set_immune', 'set_speed']}","{'0': '43.33', '1': '42.29', '2': '38.33', '3': '43.6', '4': '44.16'}","['c5110', 'c2112', 'c2066']","['c5110', 'c2011', 'c1103']"
c3042,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2031,Ranking: 68 / 335,49.35,"{'0': ['set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_res', 'set_speed']}","{'0': '49.47', '1': '52.94', '2': '56.76', '3': '43.24', '4': '40'}","['c5110', 'c2011', 'c2112']","['c2011', 'c1133', 'c2066']"
c3132,Ranking: 257 / 335,31.58,"{'0': ['set_acc', 'set_acc', 'set_acc'], '1': ['set_acc', 'set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_acc', 'set_cri_dmg'], '4': ['set_speed']}","{'0': '40', '1': '40', '2': '0', '3': '0', '4': '0'}",[],[]
c5004,Ranking: 45 / 335,51,"{'0': ['set_acc', 'set_speed'], '1': ['set_immune', 'set_speed'], '2': ['set_max_hp', 'set_speed'], '3': ['set_counter', 'set_immune'], '4': ['set_speed']}","{'0': '51.56', '1': '54.19', '2': '54.32', '3': '49.67', '4': '51.87'}","['c5110', 'c2011', 'c2112']","['c2112', 'c5110', 'c2128']"
c2109,Ranking: 106 / 335,45.68,"{'0': ['set_counter', 'set_cri'], '1': ['set_counter', 'set_immune'], '2': ['set_counter', 'set_penetrate'], '3': ['set_coop', 'set_counter'], '4': ['set_counter', 'set_max_hp']}","{'0': '44.4', '1': '48.82', '2': '46.6', '3': '44.72', '4': '52.4'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2112', 'c2011']"
c1160,Ranking: 267 / 335,29.67,"{'0': ['set_res', 'set_speed'], '1': ['set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_res', 'set_revenge'], '4': ['set_acc', 'set_speed']}","{'0': '28.96', '1': '26.03', '2': '47.37', '3': '23.68', '4': '30.43'}","['c5110', 'c2011', 'c1104']","['c6011', 'c2102', 'c2070']"
c1101,Ranking: 153 / 335,42.72,"{'0': ['set_counter', 'set_penetrate'], '1': ['set_counter', 'set_cri'], '2': ['set_counter', 'set_max_hp'], '3': ['set_counter', 'set_immune'], '4': ['set_penetrate', 'set_speed']}","{'0': '42.97', '1': '43.58', '2': '35.38', '3': '47.46', '4': '59.46'}","['c5110', 'c2112', 'c1055']","['c5110', 'c1162', 'c1103']"
c2024,Ranking: 32 / 335,51.95,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed'], '2': ['set_acc', 'set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_speed', 'set_torrent']}","{'0': '51', '1': '56.42', '2': '49.9', '3': '52.31', '4': '51.54'}","['c5110', 'c2011', 'c2112']","['c2011', 'c5110', 'c1133']"
c1013,Ranking: 239 / 335,33.33,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2014,Ranking: 173 / 335,40.95,"{'0': ['set_cri', 'set_speed'], '1': ['set_penetrate', 'set_speed'], '2': ['set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_acc', 'set_speed']}","{'0': '39.86', '1': '46.58', '2': '45.16', '3': '36.36', '4': '26.09'}","['c2011', 'c5110', 'c2112']","['c1133', 'c2074', 'c5110']"
