Hero,Winrate,Pick Rate,Counter1,Counter1_Wins,Counter2,Counter2_Wins,Counter3,Counter3_Wins,Pick1,Pick1_Count,Pick2,Pick2_Count,Pick3,Pick3_Count,CounteredBy1,CounteredBy1_Count,CounteredBy2,CounteredBy2_Count,CounteredBy3,CounteredBy3_Count
c1110,0.0,0.00010638297872340425,c2066,1,c2011,1,c2125,1,c2128,1,c1156,1,c2070,1,c2125,4,c2011,2,c2066,2
c1111,0.631578947368421,0.002021276595744681,c2011,6,c5110,6,c2113,6,c1150,12,c2112,8,c2011,7,c2126,5,c2066,4,c2113,4
c2065,0.25,0.000425531914893617,c2011,3,c1150,2,c2112,2,c2126,3,c2113,3,c2047,2,c2125,3,c2011,3,c2024,3
c1047,0.5,0.0010638297872340426,c1162,8,c1153,4,c1055,4,c1019,8,c1131,6,c2113,4,c1162,3,c2066,2,c1153,2
c0002,0.0,0.00010638297872340425,c1112,1,c1163,1,c2024,1,c5110,1,c2016,1,c6017,1,c4158,1,c2004,1,c2024,1
c2015,0.5714285714285714,0.0029787234042553193,c1150,16,c2011,13,c2069,8,c5110,12,c2113,10,c2039,7,c1150,12,c2011,12,c2125,6
c1144,0.6774193548387096,0.003297872340425532,c2090,13,c2125,12,c1162,10,c2011,12,c2128,8,c1151,8,c2113,16,c2125,9,c2039,9
c2103,0.3333333333333333,0.0009574468085106382,c2128,5,c2011,4,c2125,3,c4123,4,c2113,4,c5110,3,c2128,6,c2125,4,c2113,4
c1037,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2128,2,c2125,2,c2113,2
c5001,0.25,0.000425531914893617,c2113,3,c1159,3,c1162,2,c2126,2,c1117,2,c2090,2,c2113,8,c1162,6,c2039,6
c1023,0.3333333333333333,0.0009574468085106382,c2125,5,c2011,4,c1055,3,c1153,4,c2090,3,c4158,3,c2125,4,c2011,4,c1159,3
c2053,0.4117647058823529,0.003617021276595745,c2112,13,c1150,11,c1055,10,c2090,12,c2011,12,c5110,9,c2112,11,c1055,7,c2128,7
c2014,0.6923076923076923,0.0013829787234042553,c2125,8,c2066,5,c1055,4,c2039,8,c2011,7,c1117,7,c2066,3,c2125,2,c5110,1
c1031,0.5,0.000425531914893617,c1060,3,c2113,3,c2111,2,c2090,4,c5110,2,c2101,2,c2113,2,c1156,1,c1060,1
c1024,0.0,0.00010638297872340425,c5110,1,c1162,1,c1060,1,c2090,1,c2113,1,c1159,1,c5110,2,c1162,1,c1060,1
c5071,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2090,1,c2113,1,c2111,1
c1106,0.3333333333333333,0.00031914893617021275,c2126,2,c2113,1,c2125,1,c1162,2,c5110,1,c1153,1,c5110,3,c2126,3,c1150,2
c2032,1.0,0.00010638297872340425,c2113,1,c2125,1,c2074,1,c5110,1,c1162,1,c1153,1,-1,-1,-1,-1,-1,-1
c3064,0.5277777777777778,0.003829787234042553,c2011,16,c5110,15,c2125,15,c5004,35,c2128,22,c2125,11,c5110,7,c2066,6,c2004,6
c2091,0.6,0.0005319148936170213,c4158,3,c5110,2,c1125,2,c5110,3,c2011,2,c1112,2,c2128,3,c4158,3,c2112,3
c3074,1.0,0.000425531914893617,c2011,3,c2125,2,c2004,2,c2024,3,c5110,2,c2128,2,c2125,2,c2011,2,c1150,2
c1099,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c1104,2,c2128,2,c2066,1
c2035,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2125,4,c1133,4,c5110,3
c1119,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2090,3,c1162,3,c2066,2
c4105,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2090,7,c2113,6,c2039,5
c1143,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2113,4,c1117,4,c2011,3
c3162,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2113,1,c2090,1,c1159,1
c1050,0.0,0.00010638297872340425,c2113,1,c2090,1,c2125,1,c5004,1,c2128,1,c1159,1,c2039,2,c2113,1,c1159,1
c1070,0.5,0.0002127659574468085,c1150,2,c1104,2,c5110,1,c2011,2,c4158,2,c2128,1,c5110,1,c2090,1,c1156,1
c5009,0.0,0.0002127659574468085,c2106,2,c1159,1,c1055,1,c1104,2,c1133,2,c1112,1,c5110,1,c2090,1,c1153,1
c1074,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2090,1,c1159,1,c2066,1
