Match Number,Pick Order,Match Result,Team,Hero,First Pick
55,3,Win,My Team,c2070,0
55,6,Win,My Team,c4158,0
55,7,Win,My Team,c1055,0
55,10,Win,My Team,c1159,0
55,1,Loss,Enemy Team,c2113,1
55,4,Loss,Enemy Team,c2106,1
55,5,Loss,Enemy Team,c2011,1
55,8,Loss,Enemy Team,c1126,1
55,9,Loss,Enemy Team,c1022,1
56,1,Win,My Team,c2113,1
56,4,Win,My Team,c2039,1
56,5,Win,My Team,c1153,1
56,8,Win,My Team,c1055,1
56,9,Win,My Team,c2023,1
56,2,Loss,Enemy Team,c2070,0
56,3,Loss,Enemy Team,c1159,0
56,6,Loss,Enemy Team,c2095,0
56,7,Loss,Enemy Team,c2101,0
56,10,Loss,Enemy Team,c1104,0
57,2,Win,My Team,c2066,0
57,3,Win,My Team,c2113,0
57,6,Win,My Team,c2095,0
57,7,Win,My Team,c2089,0
57,10,Win,My Team,c2102,0
57,1,Loss,Enemy Team,c2112,1
57,4,Loss,Enemy Team,c2042,1
57,5,Loss,Enemy Team,c1117,1
57,8,Loss,Enemy Team,c4158,1
57,9,Loss,Enemy Team,c2011,1
58,1,Win,My Team,c2113,1
58,4,Win,My Team,c2042,1
58,5,Win,My Team,c1153,1
58,8,Win,My Team,c2019,1
58,9,Win,My Team,c2088,1
58,2,Loss,Enemy Team,c2066,0
58,3,Loss,Enemy Team,c2070,0
58,6,Loss,Enemy Team,c1133,0
58,7,Loss,Enemy Team,c2102,0
58,10,Loss,Enemy Team,c2069,0
59,2,Loss,My Team,c2113,0
59,3,Loss,My Team,c1159,0
59,6,Loss,My Team,c2008,0
59,7,Loss,My Team,c2111,0
59,10,Loss,My Team,c1104,0
59,1,Win,Enemy Team,c2066,1
59,4,Win,Enemy Team,c2042,1
59,5,Win,Enemy Team,c5110,1
59,8,Win,Enemy Team,c2016,1
59,9,Win,Enemy Team,c1117,1
60,2,Win,My Team,c2066,0
60,3,Win,My Team,c2112,0
60,6,Win,My Team,c2004,0
60,7,Win,My Team,c4158,0
60,10,Win,My Team,c2102,0
60,1,Loss,Enemy Team,c5110,1
60,4,Loss,Enemy Team,c1103,1
60,5,Loss,Enemy Team,c1163,1
60,8,Loss,Enemy Team,c1127,1
60,9,Loss,Enemy Team,c1089,1
61,2,Loss,My Team,c2112,0
61,3,Loss,My Team,c2113,0
61,6,Loss,My Team,c1019,0
61,7,Loss,My Team,c2008,0
61,10,Loss,My Team,c2095,0
61,1,Win,Enemy Team,c2066,1
61,4,Win,Enemy Team,c2042,1
61,5,Win,Enemy Team,c1103,1
61,8,Win,Enemy Team,c1125,1
61,9,Win,Enemy Team,c1129,1
62,2,Win,My Team,c2106,0
62,3,Win,My Team,c2070,0
62,6,Win,My Team,c1153,0
62,7,Win,My Team,c2039,0
62,10,Win,My Team,c1022,0
62,1,Loss,Enemy Team,c5110,1
62,4,Loss,Enemy Team,c5089,1
62,5,Loss,Enemy Team,c4123,1
62,8,Loss,Enemy Team,c2049,1
62,9,Loss,Enemy Team,c1100,1
63,2,Loss,My Team,c2070,0
63,3,Loss,My Team,c5110,0
63,6,Loss,My Team,c2095,0
63,7,Loss,My Team,c1055,0
63,10,Loss,My Team,c2073,0
63,1,Win,Enemy Team,c2113,1
63,4,Win,Enemy Team,c1153,1
